id,name_en,name_ru
405,"Pork, cured, ham -- water added, rump, bone-in, separable lean only, unheated",
406,"Pork, cured, ham -- water added, shank, bone-in, separable lean only, heated, roasted",
407,"Pork, cured, ham -- water added, slice, bone-in, separable lean only, heated, pan-broil",
408,"Pork, cured, ham with natural juices, rump, bone-in, separable lean only, heated, roasted",
409,"Pork, cured, ham with natural juices, shank, bone-in, separable lean only, heated, roasted",
410,"Pillsbury Grands, Buttermilk Biscuits, refrigerated dough",
411,"Heinz, Weight Watcher, Chocolate Eclair, frozen",
412,"Interstate Brands Corp, Wonder Hamburger Rolls",
413,"Nabisco, Nabisco Snackwell's Fat Free Devil's Food Cookie Cakes",
414,"Crackers, cheese, sandwich-type with cheese filling",
415,"Pancakes, plain, frozen, ready-to-heat, microwave (includes buttermilk)",
416,"Toaster Pastries, fruit, frosted (include apples, blueberry, cherry, strawberry)",
417,"Toaster pastries, fruit, toasted (include apple, blueberry, cherry, strawberry)",
418,"Muffin, blueberry, commercially prepared, low-fat",
419,"Pie crust, refrigerated, regular, baked",
420,"Pie crust, deep dish, frozen, baked, made with enriched flour",
421,"Pie crust, refrigerated, regular, unbaked",
422,"Crackers, whole-wheat, reduced fat",
423,"Crackers, wheat, reduced fat",
424,"Bread, pan dulce, sweet yeast bread",
425,"Keikitos (muffins), Latino bakery item",
426,"Cake, pound, Bimbo Bakeries USA, Panque Casero, home baked style",
427,"Pan Dulce, La Ricura, Salpora de Arroz con Azucar, cookie-like, contains wheat flour and rice flour",
428,"Garlic bread, frozen",
429,"Cinnamon buns, frosted (includes honey buns)",
430,"Crackers, cheese, reduced fat",
431,"Crackers, saltines, whole wheat (includes multi-grain)",
432,"Bread, potato",
433,"Bread, cheese",
434,"Focaccia, Italian flatbread, plain",
435,"SCHIFF,TIGER'S MILK BAR",
436,"Candies, TOBLERONE, milk chocolate with honey and almond nougat",
437,"Snacks, corn-based, extruded, onion-flavor",
438,"Snacks, corn-based, extruded, puffs or twists, cheese-flavor",
439,"Snacks, KRAFT, CORNNUTS, plain",
440,"Snacks, crisped rice bar, chocolate chip",
441,"Snacks, granola bars, hard, chocolate chip",
442,Fruit syrup,
443,"Snacks, granola bars, soft, uncoated, plain",
444,"Snacks, granola bars, soft, uncoated, peanut butter",
445,"Topping, SMUCKER'S MAGIC SHELL",
446,"Syrup, fruit flavored",
447,"Snacks, oriental mix, rice-based",
448,"Snacks, popcorn, air-popped",
449,"Snacks, popcorn, cheese-flavor",
450,"Snacks, pork skins, plain",
451,"Snacks, potato chips, barbecue-flavor",
452,"Snacks, potato chips, sour-cream-and-onion-flavor",
453,"Snacks, M&M MARS, COMBOS Snacks Cheddar Cheese Pretzel",
